Venue	Date	Start	End	Title	Event	Tags	Event Type	Is On Sale	Is Sold Out	Description
Ventnor Arts Club	2026-07-17	19:00	20:00	Adam Flood: Life and Death of the Party	https://purchase.vfringe.co.uk/EventAvailability?EventId=60601		Comedy & Cabaret	true	false	Standup performed over big electronic beats. A show about Adam’s vanishing nightlife. ‘It shouldn’t work, but it absolutely does’, Metro. ‘A multifaceted comedy talent', Guardian. As seen on BBC and ITV. Adam, from Stoke-on-Trent, was once a teenage drug-dealer, then an indie rockstar, now a comedian. In 2025 his debut standup show was released by the BBC. In 2026 he ran, sober, full speed into a closed glass door. Broadway World ★★★★ Ed Fringe Review ★★★★ Stutter’s Pick of The Fringe ★★★★ The Real Chris Sparkle ★★★★★
Ingrams Yard	2026-07-17	19:00	20:00	Pierre Novellie: Work In Progress	https://purchase.vfringe.co.uk/EventAvailability?EventId=54401		Comedy & Cabaret	true	false	"Award-winning, five-star comedian Pierre Novellie swims over to try out his new show on you. As heard on Radio 4 and seen on television and, of course, the internet. “jumps from one ingenious routine to another...glorious” ★★★★ Dominic Maxwell, The Times “dazzling one-liners...gags so good that resistance is futile...a mini-masterpiece of extensio ad absurdum” ★★★★ Brian Logan, The Guardian"
Bosco Theatre	2026-07-17	19:30	20:30	Felicity Ward	https://purchase.vfringe.co.uk/EventAvailability?EventId=42601		Comedy & Cabaret	true	false	Nominee Best International Act 2025 NZ International Comedy Festival In 2025 Felicity Ward (Live at the Apollo,The Office - Australia) was the happiest she’s been in a decade. What happened? Divorce, Bisexuality, and Dancing with the Stars. And this bonafide showpony’s greatest gift is that she simply cannot shut tf up. 'great big snorting exhortations of comic laughter' ★★★★★ The List (UK) 'The strongest single hour of solid jokes comes from Felicity Ward… in a rolling, ballsy, crazy show that draws near-standing ovations.' ★★★★★ The Times (UK)
Club Lunar	2026-07-17	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
Bijou	2026-07-17	20:30	21:30	Laugh Now Think Later	https://purchase.vfringe.co.uk/EventAvailability?EventId=39001		Comedy & Cabaret	true	false	Laugh Now, Think Later Three stand-up comedians bring sharp wit, clever one-liners and fresh observational humour to one punchy night of comedy. Tim Sque Opens the show — a rising act who reached the semi-finals of Hampshire Comedian of the Year 2024 and runner-up in Dorset Comedian of the Year 2024. Joe Fortis Follows with quick, subtly clever one-liners delivered with understated charm. Jack Clay Closes with sharp timing and likeable delivery, having performed at venues across the UK and toured supporting Shaparak Khorsandi, Chris Kent, Sean Collins and Jeff Dye. Laugh now. Think later.
Ingrams Yard	2026-07-17	21:00	22:00	The Night Ali Died	https://purchase.vfringe.co.uk/EventAvailability?EventId=39601		Performing Arts	true	false	Ali is wanted by a vicious London Gangster and is placed under police surveillance for the protection of him and his family, yet one night, Ali decides to sneak out, sparking a bloody domino effect that ricochets through the sleepy streets of his city. Through the brutal accounts of Ali, a henchman, a detective and a mob boss, find out what on earth happened on the night Ali died. The Night Ali Died has been collecting a vast amount of accolades since, winning five awards in its first six months of touring. “A GRIPPING CRIME THRILLER THAT UNFOLDS WITH CINEMATIC PRECISION” – Colchester Gazet
Ventnor Arts Club	2026-07-17	21:30	23:00	Dogmum	https://purchase.vfringe.co.uk/EventAvailability?EventId=55001		Comedy & Cabaret	true	false	Written by & starring Ventnor’s own Amy Ambrose. A musical rom-com for anyone whose Prince Charming turned out to be a cockapoo. When the dating pool resembles a crime documentary, one woman finds true love in fluffy dog Alfie. Funny, heartfelt & painfully relatable, DogMum is about heartbreak, healing and discovering that sometimes the happy ending arrives with muddy paws and terrible breath.
Bosco Theatre	2026-07-17	21:30	00:30	Pick of the Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=37002		Comedy & Cabaret	true	false	Returning for an unprecedented sixth year following completely sold out shows since 2021. Join us for a packed night of stand up comedy from a selection of some of the funniest acts at this year's Ventnor Fringe, curated and hosted by Edinburgh Comedy Award Winner and Ventnor Fringe favourite Ahir Shah (Live at the Apollo, Have I Got News For You, Mock The Week) Now featuring different line ups every evening so you can always expect something new, It's the perfect night out at the Fringe.
	2026-07-18	11:00	12:30	Artist Breakfast hosted by Gallery 44	https://purchase.vfringe.co.uk/EventAvailability?EventId=64601		Workshop	true	false	Join us for an informal, social event with free pastries to meet fellow performers and creatives. Network, meet new people and discover more about development and support opportunities for artists in the region. Hosted by Crying Out Loud, who support and produce world-class, boundary-pushing visual performance work in the Solent region, UK and globally. Artist Breakfast events are open to creatives, artists and students of any discipline, whether or not you're performing at Ventnor Fringe. Meet at the Parkside Bar in the Fringe Village.
Bosco Theatre	2026-07-18	11:00	16:00	Family Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=64001		Family Friendly	true	false	Family Fringe is back for a third year running, curated by our friends at New Carnival, who have been delivering vibrant, exciting and innovative creative projects for over a decade. This area is specially curated for families looking for something fun for children, especially those aged 5-12, with everything from games to graffiti, carnival crafts and circus skills. Activities available include: Games – Hula hoops, limbo, hoopla etc, Graffiti and drawing Small world area Crafting activities Musical instruments Dress Up Box Glitter tattoos Circus Skills Dance Carnival costume making and large costume walkabouts! Circus Workshops with Azaria 14:00–15:00 each day! Entry to the Family Fringe is £10 (Including booking fee) per day per child (adults go free) There are also some spectacular FREE outdoor circus, magic and puppet shows in the park on both weekends, as well as live music on the Bandstand making for a packed, full day out. Please note children must always be supervised by an adult. Sometimes a particular activity may be busy, if this happens we will operate on a first come first served basis/ one in, one out.
Ventnor Library	2026-07-18	11:00	12:00	Why is the Sea Salty?	https://purchase.vfringe.co.uk/EventAvailability?EventId=58202		Family Friendly	true	false	A fun and dramatic reading of myths and legends for children and adults with a small jar of Ventnor Sea Salt to take home.
Pier Street Playhouse	2026-07-18	12:30	13:20	Marriage Material	https://purchase.vfringe.co.uk/EventAvailability?EventId=59801		Performing Arts	true	false	Charlie is on the hunt for a husband and needs your help. After enduring years of hilariously disastrous dates (cheers Hinge), true love has proven elusive so she is taking matters into her own hands. But is she marriage material? Journey with her as she blends comedy, poetry and theatre into this joyous antidote to breakups and singledom; laying out all the love, heartbreak, insecurity and joy of her past, before you ultimately have the deciding vote as to whether she is marriage material or not. Can you succeed where the dating apps have failed and help Charlie end her everlasting singledom? Or will she remain alone forever? Marriage Material is a 50-minute, one-woman show. It breaks down the boundaries of genre to connect with you on one of the most fundamental tasks within our society – finding our life partners.
Ventnor Arts Club	2026-07-18	13:45	14:45	Naughty or NeuroDiverse - An Aspies Road to Magic	https://purchase.vfringe.co.uk/EventAvailability?EventId=57401		Spoken Word, Walks & Talks	true	false	Bullied. Misunderstood. Unstoppable. From being expelled from three schools and surviving relentless bullying, to discovering a deck of cards that changed his life, Angus Baskerville’s extraordinary journey is anything but ordinary. Here he talks about his memoir 'Naughty or NeuroDiverse - An Aspies Road to Magic' & how he has harnessed his ADHD & Autism diagnosis to great effect, becoming a successful Magic Circle accredited magician along the way. He may even throw some magic in for good measure!
Ventnor Exchange	2026-07-18	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
Bosco Theatre	2026-07-18	14:30	15:30	SESKA - SUPERSILLYMAGICSHOW	https://purchase.vfringe.co.uk/EventAvailability?EventId=39002		Family Friendly	true	false	Super-hilarious family comedy magic for families. Crazier than finding a penguin in your fridge, one of the UK’s funniest family friendly comedians is back with a new bonkers show! Turbo-charged fast-paced super interactive magic show sells out at festivals and arts centres leaving audiences with a huge grin on their faces. Entertaining crowds from Mumbai to Trinidad and a firm favourite at Camp Bestival, his skills and jokes keep mum and dad glued to the show too. Endearing, charismatic, colorful and chaotic ! “One of the world’s top comedy magicians.” BBC Radio
Ingrams Yard	2026-07-18	15:00	16:00	735	https://purchase.vfringe.co.uk/EventAvailability?EventId=60801		Performing Arts	true	false	The future of working life, today! We here at Corporate Management Solutions are delighted to invite you - yes, you - to attend one of our exclusive, behind-the-scenes presentations of the proper workplace of the not-too-distant future. Do you want the inside track to your success in the upcoming corporate utopia? Are you desperate to go above and beyond for a business that cares deeply about pretending to care about you? Perhaps a lazy, lollygagging loser wanting to turn your fortunes around? Or just in need of passing an hour in an exciting fashion? Whether you're any of the above or none at all, get your tickets ASAP for a uniquely entertaining and engaging experience you won't soon forget! Written and Performed by Tom Pagett, originally developed at the University of Chichester, before being redeveloped with the help of Lighthouse Poole's Sanctuary scheme.
Bijou	2026-07-18	15:30	16:30	Canon Fodder	https://purchase.vfringe.co.uk/EventAvailability?EventId=55201		Spoken Word, Walks & Talks	true	false	CANON FODDER is a POETRY and MUSIC show, usually found at The Social and Glastonbury Festival, coming to Ventnor Fringe 2026 on a mission to feed the CANON and feed the SOUL. WRITERS including ELLA FREARS dazzle with their own work and that of poets they LOVE who've been OVERLOOKED by the CANON. LIVE MUSIC from the island’s finest musicians continues in the vein of NEW SONGS and UNSUNG HEROES. At the helm is HOST and HUMAN CANNONBALL, LILY BLACKSELL. Join us to celebrate POETRY and MUSIC, the HAPPENING and the HAPPENED! Raise a toast to NEW DISCOVERIES and those we LOVE THE MOST!
Pier Street Playhouse	2026-07-18	15:30	16:30	The King In Yellow	https://purchase.vfringe.co.uk/EventAvailability?EventId=60001		Performing Arts	true	false	Tide Nor Time Players present a live radio play performance of The King in Yellow, adapted and directed by Simon Bucher-Jones. This richly atmospheric production draws upon Robert W. Chambers’ haunting and enigmatic play, transforming it into an immersive theatrical experience that unfolds entirely through voice, sound, and imagination. Blurring the line between stage and mind! The performance invites audiences to step into a world where reality feels fragile and something ancient and unsettling presses just beyond the veil. The production captures the creeping dread and psychological unease at the heart of The King In Yellow. The infamous forbidden play, once whispered about in fragments now brought to life by Simon Bucher-Jones' original adaptation. Performed in the style of a classic live radio broadcast, the piece celebrates the power of storytelling in its purest form. Actors, sound effects, and music combine in real time to conjure vivid imagery without the need for elaborate sets, allowing each listener’s imagination to complete the picture in uniquely personal ways. This approach not only honours the traditions of early audio drama but also amplifies the unsettling ambiguity that defines The King in Yellow.
Ventnor Exchange Arena	2026-07-18	15:30	16:30	The Mr Thing Show	https://purchase.vfringe.co.uk/EventAvailability?EventId=47201		Comedy & Cabaret	true	false	Mr. Thing are back "broadcasting" live at the Fringe. Become part of the studio audience as Tom and Owen, Puppet Steve and a crew of Things pull together a TV variety show live on stage with surprise guests, games, video sketches, live music, remote controlled cameras, musical robots, technical hijinx and much more. Welcome to the multimedia mayhem that is The Mr. Thing Show. 'A comedic riot' (Telegraph). 'I was howling with laughter' (Metro).
Ventnor Arts Club	2026-07-18	16:45	17:45	''Strange Young Alien" A conversation with Bid from the Monochrome Set with songs	https://purchase.vfringe.co.uk/EventAvailability?EventId=60201		Spoken Word, Walks & Talks	true	false	Join Bid, the singular voice behind The Monochrome Set, for a rare and intimate “in conversation” event, featuring acoustic performances of his songs. For over four decades, Bid has crafted lyrics that are witty, elusive, and quietly unsettling. If you’ve ever wondered what might inspire a line like “Every night at sleepy time / I hang my skin out on the line,” this is your chance to explore the answer—or at least venture deeper into the mystery. Drawing on his remarkable book Strange Young Alien, Bid reflects on a life shaped by travel, music, and unexpected transformation. Part memoir, the book traces his childhood in India and the Himalayas, his adventures within the British music industry, and the near-fatal aneurysm in 2010 that profoundly altered his brain—and his creative process. In its wake emerged what Bid calls “the Creature,” an artistic other self that challenges the very idea of authorship. Expect intriguing and often darkly amusing stories: the haircut that sparked “Letter from Viola,” the supermarket worker behind “The Cosmonaut,” and the unsettling figures linked to “Reach for Your Gun” and “Hello, Save Me.” Yet the more Bid reveals, the more his work resists simple explanation. Alongside these reflections, Bid will perform a selection of songs in a stripped-back acoustic setting, offering a fresh perspective on his distinctive catalogue—where sharp humour meets exotic imagery and a uniquely philosophical edge. Long admired by fellow musicians—famously including Johnny Marr and Morrissey—Bid remains one of the most original and enigmatic songwriters to emerge from the UK post-punk era. This is more than a conversation or a reading; it’s an invitation into a creative mind where meaning is fluid, inspiration is unpredictable, and the boundary between artist and art begins to blur.
Bosco Theatre	2026-07-18	17:00	17:55	Brainfools Circus + Theatre presents: Balance	https://purchase.vfringe.co.uk/EventAvailability?EventId=38202		Performing Arts	true	false	Two circus artists, two steel beer kegs, and a path of empty glass bottles. In Balance, Jared and Toffy find a physical language of trust in the inventory of a pub cellar. There are no traditional circus rigs—just the cold weight of metal, the sharp fragility of glass, and the constant negotiation of staying upright. They lift, they catch, they slip, and they hold on. It is an honest, high-stakes look at the visceral effort of relying on someone else to keep from falling. A circus duet about finding your centre when the ground feels like it's tipping.
Ingrams Yard	2026-07-18	17:00	18:00	Huge Davies: Work in Progress	https://purchase.vfringe.co.uk/EventAvailability?EventId=57001		Comedy & Cabaret	true	false	Edinburgh Award Nominee Huge Davies (Cats Does Countdown, Off Menu) has not slept for a decade. To mark this ten year anniversary, he’s going to tell jokes about it whilst wearing a big keyboard; watch? ‘Ingenius’ Edfringe Review *****, ‘Masterful’ Chortle **** Telegraph **** The List *****
Ventnor Exchange Arena	2026-07-18	18:00	19:00	The Guilty Feminist x The Road to Gilead Project - with Deborah Frances-White	https://purchase.vfringe.co.uk/EventAvailability?EventId=37801		Spoken Word, Walks & Talks	true	false	Join The Guilty Feminist and their bold new initiative, The Road to Gilead Project, for a live show that blends humour with radical hope. Since 2016, The Guilty Feminist podcast has racked up over 180 million downloads by examining the noble goals of 21st-century feminism and the hypocrisies and insecurities that undermine them. It’s the show that proves you don’t have to be perfect to be a force for meaningful change. The Road to Gilead Project aims to ignite connection and action that will bring about hope and resistance against the far right. Gilead is a pop culture shorthand from Margaret Atwood’s dystopian Handmaid’s Tale vision that we now see rising in the west. We welcome the questioning and the committed alike to come together in honest conversation about how we might form real coalitions for change and how we resist the slide towards opression and power abuse with courage, creativity and collective joy. Expect big laughs, bold ideas and a room full of people who believe a better world is possible - even if we sometimes feel like we’re winging it. Come join host Deborah Frances-White & her fellow comedians, activists and guests to be part of this joyful, defiant movement.
Bijou	2026-07-18	18:15	19:15	Lawrence Dodd: This Can't Be It	https://purchase.vfringe.co.uk/EventAvailability?EventId=40201		Comedy & Cabaret	true	false	Perpetually derailed, deluded, and paralysed by overwhelm, Big Loz Dodd arrives to do something very special indeed - something that might just deliver the kind of profound insight that shakes our ‘contemporary situation’ to its core. Blending performance art and contemporary clowning, This Can’t Be It is a semi-improvised, feverish & open hearted exploration of how we stay open to the mystery when everything is closing us down. Directed by Lara Ricote and with Rachael Dobbie on tech.
Pier Street Playhouse	2026-07-18	18:30	19:30	The Full English	https://purchase.vfringe.co.uk/EventAvailability?EventId=41402		Spoken Word, Walks & Talks	true	false	It's a bish-bosh, wish-wash, car crash mishmash!" From gangs of gung-ho Anglo-Saxons to Covidiots and Instagram influencers, this one-woman show by spoken word artist and linguistics nerd, Melanie Branton, celebrates the history of our glorious, multicultural tongue, through the media of performance poetry, silly hats and dad jokes. “A wonderfully eccentric, sharply intelligent, and surprisingly moving evening” ***** stars A Young(ish) Perspective “Funny, informative and clever” **** stars The Reviews Hub “Another triumph” Wolverhampton Express and Star
Ventnor Arts Club	2026-07-18	19:00	20:00	How I Went to Every Supermarket in the World	https://purchase.vfringe.co.uk/EventAvailability?EventId=56201		Comedy & Cabaret	true	false	"Dan has been a data collector for 10 years. You know when they say how much it costs to live somewhere? He's the guy who finds out. He travels round the world and walks around supermarkets recording the prices of apples / cheese / you name it into his Dictaphone. He's been to pretty much every supermarket, in every country, in the world. This is the story of how. From the man who brought you How I Came Third in the North Korean Marathon. Praise for How I Came Third in the North Korean Marathon: “A great life-affirming tale” - The Dark Chat “Very entertaining and funny” - John Fleming"
Ingrams Yard	2026-07-18	19:00	20:00	Sam Nicoresti: Baby Doomer	https://purchase.vfringe.co.uk/EventAvailability?EventId=46801		Comedy & Cabaret	true	false	Winner of Best Show at the Edinburgh Comedy Awards 2025. A glistening diamond hour of stand-up from “delusional trans comedian” Sam Nicoresti about love, insanity, and the hunt for the perfect skirt suit. Following a critical maelstrom of success at the Edinburgh Fringe, and three weeks of sold-out performances at London’s Soho Theatre, Sam finally brings an extended and revamped version of her breakout hit show Baby Doomer to the great unwashed (i.e. goes on tour).
Bosco Theatre	2026-07-18	19:30	20:30	Later Life Letter	https://purchase.vfringe.co.uk/EventAvailability?EventId=40601		Spoken Word, Walks & Talks	true	false	Later Life Letter tells the story of Luke Wright’s adoption – the life he leads, and the one he might have done. Wright navigates his audience through a warm and honest hour of poems and stand-up with the wit, pathos, and silliness that has made him one of the most popular live poets in England. Expect raucous laughter, tear-stained cheeks, and a little smattering of drum n bass. “A streetwise panache and a sardonic comic verve to rival Stewart Lee.” ★★★★★ Telegraph “His poems shoot arrows through the heart, or leave you dazzled by their virtuosity” ★★★★★ List Later Life Letter tells the story of Luke Wright’s adoption – the life he leads, and the one he might have done. Wright navigates his audience through a warm and honest hour of poems and stand-up with the wit, pathos, and silliness that has made him one of the most popular live poets in England. Expect raucous laughter, tear-stained cheeks, and a little smattering of drum n bass. “A streetwise panache and a sardonic comic verve to rival Stewart Lee.” ★★★★★ Telegraph “His poems shoot arrows through the heart, or leave you dazzled by their virtuosity” ★★★★★ List Turn on screen reader support
St. Catherine's Church	2026-07-18	19:30	20:30	River Man - Inspired by Nick Drake	https://purchase.vfringe.co.uk/EventAvailability?EventId=50601		Music	true	false	River Man is a 1 hour show inspired by the songs of Nick Drake and created by Jay River, a music student at Southampton University
Club Lunar	2026-07-18	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
Bijou	2026-07-18	20:30	21:30	Cerys Bradley: On Road Signs (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=40401		Comedy & Cabaret	true	false	STOP. Cerys Bradley (Actually Autistic Excellence Award 2022, as seen on Comedy Central, UKTV, BBC One Wales) has hyperfixated on road signs. Road signs are very pretty and they make Cerys’ brain go brrrrrrp. If you like road signs, follow the directions below for a silly and short history of road sign design as well as some heartfelt musings on the monotony of everyday life and the joys of autistic obsessions. GO. Outstanding Neurodiverse Performance Award Nominee 2025 ★★★★★ “Hilarious, absurd and utterly joyful” The Neurodiverse Review ★★★★★ “A very funny, quick-witted improviser” On The Mic
Ingrams Yard	2026-07-18	21:00	22:00	The Night Ali Died	https://purchase.vfringe.co.uk/EventAvailability?EventId=39601		Performing Arts	true	false	Ali is wanted by a vicious London Gangster and is placed under police surveillance for the protection of him and his family, yet one night, Ali decides to sneak out, sparking a bloody domino effect that ricochets through the sleepy streets of his city. Through the brutal accounts of Ali, a henchman, a detective and a mob boss, find out what on earth happened on the night Ali died. The Night Ali Died has been collecting a vast amount of accolades since, winning five awards in its first six months of touring. “A GRIPPING CRIME THRILLER THAT UNFOLDS WITH CINEMATIC PRECISION” – Colchester Gazet
Ventnor Arts Club	2026-07-18	21:30	23:00	Dogmum	https://purchase.vfringe.co.uk/EventAvailability?EventId=55001		Comedy & Cabaret	true	false	Written by & starring Ventnor’s own Amy Ambrose. A musical rom-com for anyone whose Prince Charming turned out to be a cockapoo. When the dating pool resembles a crime documentary, one woman finds true love in fluffy dog Alfie. Funny, heartfelt & painfully relatable, DogMum is about heartbreak, healing and discovering that sometimes the happy ending arrives with muddy paws and terrible breath.
Bosco Theatre	2026-07-18	21:30	00:30	Pick of the Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=37002		Comedy & Cabaret	true	false	Returning for an unprecedented sixth year following completely sold out shows since 2021. Join us for a packed night of stand up comedy from a selection of some of the funniest acts at this year's Ventnor Fringe, curated and hosted by Edinburgh Comedy Award Winner and Ventnor Fringe favourite Ahir Shah (Live at the Apollo, Have I Got News For You, Mock The Week) Now featuring different line ups every evening so you can always expect something new, It's the perfect night out at the Fringe.
